Number,Title,URL,Date
1,Board of Regents honors Kennesaw State professor with teaching award,https://www.kennesaw.edu/news/stories/2024/board-of-regents-honors-ksu-professor-with-teaching-award.php,"September 13, 2024"
2,Kennesaw State physics professors will continue study of elementary particles,https://www.kennesaw.edu/news/stories/2024/physics-professors-continue-study-of-elementary-particles.php,"September 12, 2024"
3,Kennesaw State researchers tracking down solutions to real-world problems,https://www.kennesaw.edu/news/stories/2024/researchers-track-down-solutions-to-real-world-problems.php,"September 11, 2024"
4,Kennesaw State doctoral graduate advances breast cancer research,https://www.kennesaw.edu/news/stories/2024/doctoral-student-revolutionizes-breast-cancer-research.php,"September 10, 2024"
5,Kennesaw State graduate student drives innovation in civil engineering,https://www.kennesaw.edu/news/stories/2024/graduate-student-drives-innovation-in-civil-engineering.php,"September 06, 2024"
6,Rooted in black and gold,https://www.kennesaw.edu/news/stories/2024/rooted-in-black-and-gold.php,"September 05, 2024"
7,Kennesaw State student's research put focus on accessibility in software interfaces,https://www.kennesaw.edu/news/stories/2024/student-research-focus-accessibility-in-software-interfaces.php,"September 04, 2024"
8,Kennesaw State earns top-10 rankings nationally in Niche's 2025 Best Colleges report,https://www.kennesaw.edu/news/stories/2024/ksu-earns-top-10-rankings-in-best-colleges-report.php,"September 03, 2024"
9,Kennesaw State launches first video game through KSU Game Studio,https://www.kennesaw.edu/news/stories/2024/ksu-launches-video-game-through-game-studio.php,"August 30, 2024"
10,KSU student researches why restaurants shift from public to private,https://www.kennesaw.edu/news/stories/2024/ksu-student-research-restaurants-shift-to-private.php,"August 30, 2024"
