Number,Title,URL,Date
1,Passion for opera fuels Kennesaw State student's research,https://www.kennesaw.edu/news/stories/2024/passion-for-opera-fuel-student-research.php,"July 29, 2024"
2,KSU student designs 3D-printed robotic glove for hand rehabilitation,https://research.kennesaw.edu/roc/stories/surp-britt-walker.php,"July 25, 2024"
3,"Kennesaw State student finds focus, motivation in promise of DNA research",https://www.kennesaw.edu/news/stories/2024/student-finds-motivation-in-promise-of-dna-research.php,"July 23, 2024"
4,"Kennesaw State student finds learning, service opportunities wherever she turns",https://www.kennesaw.edu/news/stories/2024/ksu-student-finds-learning-service-opportunities.php,"July 22, 2024"
5,Kennesaw State project aims to change minds on native plants,https://www.kennesaw.edu/news/stories/2024/ksu-project-aims-to-change-minds-on-native-plants.php,"July 19, 2024"
6,KSU student studies VR's use in strengthening physically limited adults,https://research.kennesaw.edu/roc/stories/surp-kayla-anderson.php,"July 18, 2024"
7,Kennesaw State alumnus chases passion for architecture and design,https://www.kennesaw.edu/news/stories/2024/ksu-alumnus-chases-passion-for-architecture-and-design.php,"July 17, 2024"
8,KSU nursing professors honored as Fellows of the American Academy of Nursing,https://www.kennesaw.edu/news/stories/2024/professors-honored-as-fellows-american-academy-of-nursing.php,"July 16, 2024"
9,Kennesaw State undergrad researcher is shooting for the stars  ,https://www.kennesaw.edu/news/stories/2024/ksu-undergrad-researcher-shooting-for-the-stars.php,"July 15, 2024"
10,"How personalities, cultural identities can help process trauma",https://research.kennesaw.edu/roc/stories/surp-alexa-brown.php,"July 12, 2024"
