Number,Title,URL,Date
1,Kennesaw State senior design team places third in international competition,https://www.kennesaw.edu/news/stories/2024/newkennesaw-state-senior-design-team-places-third-in-international-competitionfile.php,"July 12, 2024"
2,Alumna sculptor creates captivating piece for Kennesaw State administration suite,https://www.kennesaw.edu/news/stories/2024/sculptor-creates-captivating-piece-for-ksu-administration.php,"July 11, 2024"
3,Kennesaw State alum finding success at intersection of AI and animals ,https://www.kennesaw.edu/news/stories/2024/ksu-alum-finding-success-with-ai-and-animals.php,"July 08, 2024"
4,Conference USA officially welcomes Kennesaw State as 10th member,https://ksuowls.com/news/2024/7/1/general-conference-usa-officially-welcomes-kennesaw-state-as-10th-member.aspx,"July 01, 2024"
5,Kennesaw State student researcher explores arsenic's medicinal potential,https://research.kennesaw.edu/roc/stories/surp-shifa-maherali-jiwani.php,"June 26, 2024"
6,Kennesaw State student pursues childhood dream through research,https://www.kennesaw.edu/news/stories/2024/ksu-student-pursues-dream-through-research.php,"June 24, 2024"
7,Grant will help Kennesaw State math professor analyze electromagnetic waves,https://www.kennesaw.edu/news/stories/2024/grant-will-help-math-professor-analyze-electromagnetic-waves.php,"June 21, 2024"
8,KSU student incorporates cultural background into research project,https://research.kennesaw.edu/roc/stories/surp_betsy_barron.php,"June 20, 2024"
9,"Kennesaw State, Kroger partnering to boost campus resources at nine HBCUs",https://www.kennesaw.edu/news/stories/2024/ksu-kroger-partner-to-boost-resources-at-nine-hbcus.php,"June 17, 2024"
10,Kennesaw State grad embraces the art of research,https://www.kennesaw.edu/news/stories/2024/ksu-grad-embraces-art-of-research.php,"June 14, 2024"
