Number,Title,URL,Date
1,Kennesaw State graduate brings two worlds together,https://www.kennesaw.edu/news/stories/2024/ksu-graduate-brings-two-worlds-together.php,"May 07, 2024"
2,Kennesaw State honors former administrator Harris Travis with new exhibit,https://www.kennesaw.edu/news/stories/2024/ksu-honors-former-administrator-with-new-exhibit.php,"May 03, 2024"
3,Kennesaw State receives Insight Into Diversity 2024 Alumni Association Inclusive Excellence Award,https://www.kennesaw.edu/news/stories/2024/ksu-receives-alumni-association-inclusive-excellence-award.php,"May 01, 2024"
4,Kennesaw State multidisciplinary grad represents spirit of determination,https://www.kennesaw.edu/news/stories/2024/multidisciplinary-grad-represents-spirit-of-determination.php,"May 01, 2024"
5,Kennesaw State awards first interdisciplinary engineering doctorate degrees,https://www.kennesaw.edu/news/stories/2024/ksu-awards-first-interdisciplinary-engineering-phd.php,"April 29, 2024"
6,Kennesaw State graduate shares his artistry and passion for theatre in the community,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-graduate-shares-his-artistry-and-passion-for-theatre.php,"April 26, 2024"
7,Spring Symposium showcases impactful research of KSU students,https://research.kennesaw.edu/roc/stories/spring-2024-symposium-student-scholars.php,"April 24, 2024"
8,Kennesaw State names new dean to lead engineering college,https://www.kennesaw.edu/news/stories/2024/ksu-names-new-dean-to-lead-engineering-college.php,"April 23, 2024"
9,KSU researcher creates environment that allows students to thrive,https://research.kennesaw.edu/our/news/%202024-outstanding-undergrad-mentor.php,"April 22, 2024"
10,Kennesaw State supporters exceed expectations during first Giving Day event,https://www.kennesaw.edu/news/stories/2024/ksu-supporters-exceed-expectations-during-giving-day-event.php,"April 19, 2024"
