Number,Title,URL,Date
1,Kennesaw State professor changing lives of the underrepresented,https://www.kennesaw.edu/news/stories/2024/ksu-professor-changing-lives-of-underrepresented.php,"August 28, 2024"
2,Kennesaw State receives Georgia Serves grant to boost student volunteerism,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-receives-georgia-serves-grant-student-volunteerism.php,"August 27, 2024"
3,Kennesaw State's Owl Network creates next generation of sports broadcasters,https://www.kennesaw.edu/news/stories/2024/ksu-owl-network-creates-next-generation-of-sports-broadcasters.php,"August 26, 2024"
4,Kennesaw State celebrates Birla Carbon Scholars at symposium,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-celebrates-birla-carbon-scholars.php,"August 23, 2024"
5,Kennesaw State graduate applies research skills to USDA fellowship,https://www.kennesaw.edu/news/stories/2024/ksu-graduate-applies-research-skills-to-usda-fellowship.php,"August 22, 2024"
6,"Kennesaw State University Foundation names new chair, welcomes six new trustees ",https://www.kennesaw.edu/news/stories/2024/ksu-foundation-names-new-chair-welcomes-six-trustees.php,"August 22, 2024"
7,"Kennesaw State embraces AI as valuable tool for students, researchers",https://www.kennesaw.edu/news/stories/2024/ksu-embraces-ai-as-valuable-tool.php,"August 21, 2024"
8,"Kennesaw State University's outstanding faculty, alumni earn engineering awards",https://www.kennesaw.edu/news/stories/2024/ksu-faculty-alumni-earn-engineering-awards.php,"August 20, 2024"
9,Kennesaw State physics major pursues life-changing research,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-physics-major-pursues-life-changing-research.php,"August 19, 2024"
10,Marketing professor creates study abroad partnership with historic Belgian college,https://www.kennesaw.edu/coles/news/stories/2024-08-16-prachi-gala-irish-college-leuvnen-fellowship.php,"August 16, 2024"
