Number,Title,URL,Date
1,Hooty Hoo's Doing Research?,https://research.kennesaw.edu/roc/stories/hooty-hoo-doing-research.php,"June 12, 2024"
2,"Kennesaw State alum's inspiring, full-circle journey",https://www.kennesaw.edu/news/stories/2024/ksu-alum-inspiring-full-circle-journey.php,"June 07, 2024"
3,Kennesaw State graduate builds award-winning disinfection robot,https://research.kennesaw.edu/roc/stories/koduru-award-winning-disinfection-robot.php,"June 06, 2024"
4,Partnership gives Kennesaw State students paths to public service careers,https://www.kennesaw.edu/news/stories/2024/partnership-gives-ksu-students-paths-to-public-service-careers.php,"June 06, 2024"
5,Kennesaw State master's graduate makes the personal academic  ,https://www.kennesaw.edu/news/stories/2024/ksu-graduate-makes-the-personal-academic.php,"June 04, 2024"
6,New scholarship the culmination of Kennesaw State alumni family success,https://www.kennesaw.edu/news/stories/2024/scholarship-the-culmination-of-ksu-alumni-family-success.php,"May 30, 2024"
7,Kennesaw State Hydraulic Bike Team wins first place in national competition,https://www.kennesaw.edu/news/stories/2024/ksu-hydraulic-bike-team-wins-first-place-national-competition.php,"May 29, 2024"
8,Kennesaw State physics major to spend summer at CERN,https://www.kennesaw.edu/news/stories/2024/physics-major-to-spend-summer-at-cern.php,"May 28, 2024"
9,"Kennesaw State, DeKalb Schools partner for pipeline of highly trained educators",https://www.kennesaw.edu/news/stories/2024/ksu-dekalb-schools-partner-for-pipeline-of-educators.php,"May 16, 2024"
10,Students establish endowed scholarships at Kennesaw State,https://www.kennesaw.edu/news/stories/2024/students-establish-endowed-scholarships-at-kennesaw-state.php,"May 14, 2024"
