Number,Title,URL,Date
1,Kennesaw State's economic impact rises to nearly $2.15 billion,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-economic-impact-rises.php,"August 15, 2024"
2,Familiarity fuels Kennesaw State professor's play,https://www.kennesaw.edu/news/stories/2024/familiarity-fuels-ksu-professor-play.php,"August 14, 2024"
3,Wellstar commits $25M to expand partnership with Kennesaw State,https://www.kennesaw.edu/news/stories/2024/wellstar-commits-to-expand-partnership-with-ksu.php,"August 13, 2024"
4,Kennesaw State celebrates Katie Kaukinen as Norman J. Radow Endowed Dean's Chair,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-celebrates-katie-kaukinen-as-norman-j-radow-endowed-deans-chair.php,"August 09, 2024"
5,KSU student aims to uncover work of Caribbean playwrights,https://www.kennesaw.edu/news/stories/2024/ksu-student-aims-to-uncover-work-of-caribbean-playwrights.php,"August 09, 2024"
6,"Kennesaw State maps path to growth, increased national prominence",https://www.kennesaw.edu/news/stories/2024/kennesaw-state-maps-path-to-growth-increased-national-prominence.php,"August 08, 2024"
7,"Kennesaw State's Kaukinen, Gay chosen for USG Executive Leadership Institute",https://www.kennesaw.edu/news/stories/2024/kennesaw-states-kaukinen-gay-chosen-for-usg-executive-leadership-institute.php,"August 07, 2024"
8,Owl Olympians competing for hammer throw and speed climbing medals in Paris,https://www.kennesaw.edu/news/stories/2024/owl-olympians-competing-for-medals-in-paris.php,"August 02, 2024"
9,KSU student aims to improve fitness through gamification app,https://research.kennesaw.edu/roc/stories/surp_fernando_orfila.php,"August 01, 2024"
10,Kennesaw State professor awarded $3.5 million Spencer Foundation Grant,https://www.kennesaw.edu/news/stories/2024/professor-awarded-spencer-foundation-grant.php,"July 30, 2024"
