Number,Title,URL,Date
1,Kennesaw State partnership equips local entrepreneurs with tools for success,https://www.kennesaw.edu/news/stories/2024/ksu-partnership-equips-entrepreneurs-for-success.php,"April 17, 2024"
2,Kennesaw State researcher applies mathematical modeling expertise to health care systems,https://www.kennesaw.edu/news/stories/2024/researcher-applies-mathematical-modeling-to-health-care.php,"April 15, 2024"
3,Kennesaw State departments collaborate on health-related website,https://www.kennesaw.edu/news/stories/2024/ksu-departments-collaborate-on-health-related-website.php,"April 12, 2024"
4,Kennesaw State's mental health initiatives aim to combat national trends,https://www.kennesaw.edu/news/stories/2024/ksu-mental-health-initiatives-combat-national-trends.php,"April 10, 2024"
5,Kennesaw State MBA student leveraging degree work for a cause ,https://www.kennesaw.edu/news/stories/2024/mba-student-leveraging-degree-work-for-a-cause.php,"April 05, 2024"
6,"Fellowship lets Kennesaw State students, service agencies do more",https://www.kennesaw.edu/news/stories/2024/fellowship-lets-ksu-students-agencies-do-more.php,"April 03, 2024"
7,Kennesaw State University named Military Friendly School ,https://www.kennesaw.edu/news/stories/2024/ksu-named-military-friendly-school.php,"April 01, 2024"
8,Former Falcons QB investing in the future of Kennesaw State Athletics,https://www.kennesaw.edu/news/stories/2024/former-falcons-qb-invests-in-ksu-athletics.php,"April 01, 2024"
9,Kennesaw State first in Georgia to offer master's in teacher and educational leadership,https://www.kennesaw.edu/news/stories/2024/ksu-first-in-georgia-master-teacher-educational-leadership.php,"March 28, 2024"
10,"From the salon to the lab, chemistry student shines at Kennesaw State",https://www.kennesaw.edu/news/stories/2024/chemistry-student-shines-at-kennesaw-state.php,"March 27, 2024"
